Type	Year	mon	lon	lat	number		mass
				MPs/m2/d	t/km2/a
1	2018	22	121.5	40	10.80730574	0.000410526
1	2018	22	119	38.5	145.5298067	0.005083333
1	2018	22	120	37	73.92197125	0.001550144
1	2018	22	117.4	38.84	243.6687201	0.005109733
1	2018	22	121.43	38.87	201.779603	0.004231318
1	2015	22	121	37	399.7262149	0.008382259
1	2016	10	114	23	244	0.00511668
1	2018	7	90.5	30.5	28.9	0.000606033
1	2018	10	119.21	34.61	39	0.00081783
1	2018	10	122.18	29.97	68	0.00142596
1	2018	10	118.31	24.61	59	0.00123723
1	2018	10	116.87	38.29	36	0.00075492
1	2018	22	113.77	23.05	244	0.00511668
1	2018	22	117.44	38.84	245	0.00513765
1	2018	22	121.4	38.87	198	0.00415206
1	2018	22	121.54	37.59	74	0.00155178
1	2018	22	-113.2	36.1	112	0.00229395
1	2018	22	-108	43	68	0.001406509
1	2018	22	-117	46	139	0.002868994
1	2018	22	-120	33	435	0.009169054
1	2018	22	-119	37	54	0.001125
1	2018	22	-90.5	38.5	120	0.002487831
1	2018	22	-113.2	36.1	48	0.00102489
1	2018	22	-86	39	148	0.003215434
1	2018	22	-74	40.7	140	0.002833333
1	2018	22	-93.27	42	107	0.002211538
1	2018	22	-111.9	40.8	80	0.001655172
1	2018	22	0.7	42.6	365	0.00765405
1	2018	22	0.16	53.33	428	0.00897516
1	2018	22	0.16	53.33	331	0.00694107
1	2018	22	0.16	53.33	215	0.00450855
1	2018	22	-6.25	53.33	80	0.0016776
1	2018	22	2.4	48.9	110	0.0023067
1	2018	22	-1.14	52.95	2.9	0.000060813
1	2018	1	-0.11	51	712	0.01493064
1	2018	1	-0.11	51	59	0.00123723
1	2021	22	113.26	23.13	65.937	0.001382699
