idx_orig,Author,Year of publication,DOI,Dry deposition,Wet deposition,Bulk deposition,Air concentration,Diameter (um),Length (um),Length average,Shape,Start date,End date,lon (east),lat (north),height (m asl),parts/m2/day (dry),parts/m2/day (wet),parts/m2/day (bulk),parts/m3 (air),mg/m2/day (dry),mg/m2/day (wet),mg/m2/day (bulk),mg/m3 (air),Aspect Ratio,film L,film I,film S,area,geogr_region,edits,comments
0,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,"200-700, 700-1200",489.8979485566356,fiber,2016-10-01,2016-10-31,114.3166666666667,23.08333333333333,,,,67.0,,,,0.0046401284322528736,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
1,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-11-01,2016-11-30,114.3166666666667,23.08333333333333,,,,56.0,,,,0.00387831630158449,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
2,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-12-01,2016-12-31,114.3166666666667,23.08333333333333,,,,52.0,,,,0.00360129370861417,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
3,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-10-01,2016-10-31,114.2666666666667,23.1,,,,44.0,,,,0.003047248522673529,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
4,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-11-01,2016-11-30,114.2666666666667,23.1,,,,42.0,,,,0.002908737226188368,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
5,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-12-01,2016-12-31,114.2666666666667,23.1,,,,41.0,,,,0.002839481577945788,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
6,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-10-01,2016-10-31,114.25,23.05,,,,40.0,,,,0.0027702259297032084,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
7,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-11-01,2016-11-30,114.25,23.05,,,,39.0,,,,0.002700970281460627,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
8,Cai,2017,https://doi.org/10.1007/s11356-017-0116-x,,,o,,12.24744871391589,,489.8979485566356,fiber,2016-12-01,2016-12-31,114.25,23.05,,,,45.0,,,,0.0031165041709161076,,40.0,,,,coastal,SAS,adjusted parts and mg to exclude non-plastic fibers,
9,Dris,2016,https://doi.org/10.1016/j.marpolbul.2016.01.006,,,o,,11.0,"200-400, 400-600",346.4101615137754,fiber,2014-02-19,2015-03-12,2.433333333333334,48.78333333333333,,,,110.0,,,,0.004345372356925333,,31.49183286488868,,,,land,EUR,,
10,Dris,2016,https://doi.org/10.1016/j.marpolbul.2016.01.006,,,o,,11.0,,346.4101615137754,fiber,2014-10-03,2015-03-12,2.583333333333333,48.83333333333334,,,,53.0,,,,0.002093679408336752,,31.49183286488868,,,,land,EUR,,
11,Thinh,2020,https://doi.org/10.31276/vjste.62(3).83-89,,,o,,5.590169943749475,100-500,223.606797749979,fiber,2018-12-20,2018-12-23,106.4333333333333,10.95,,,,657.0,,,,0.004326719213638446,,40.0,,,,land,SAS,,
12,Thinh,2020,https://doi.org/10.31276/vjste.62(3).83-89,,,o,,5.590169943749475,,223.606797749979,fiber,2018-12-24,2018-12-26,106.4333333333333,10.95,,,,1256.3,,,,0.008273451062547914,,40.0,,,,land,SAS,,
13,Thinh,2020,https://doi.org/10.31276/vjste.62(3).83-89,,,o,,5.590169943749475,,223.606797749979,fiber,2019-01-03,2019-01-06,106.4333333333333,10.95,,,,1105.2,,,,0.007278371499106866,,40.0,,,,land,SAS,,
