study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,density,shape_factor,slope,log_intercept,alpha,scale
Abbasi2019,10.1016/j.envpol.2018.10.039,27.47,52.61,Aerosol,Outdoor,Abb19_A,Abb19_A_1,Fibers,10.0,500.0,1e-06,0.0001060287520586555,-0.40015807523908575,0.21462224567862143,-1.4001580752390859,0.6559244670770529
Allen2019,10.1038/s41561-019-0335-5,42.804,1.419,Total deposition,Outdoor,All19_C,All19_C_1,Fragments,10.0,225.0,1e-06,9.4e-08,-1.7979429031720238,4.592783568220913,-2.7979429031720238,70397.8610825567
Allen2019,10.1038/s41561-019-0335-5,42.804,1.419,Total deposition,Outdoor,All19_D,All19_D_1,Fibers,10.0,3000.0,1e-06,0.0001060287520586555,-0.9715784457506457,3.7645217758379195,-1.9715784457506458,5649.365160831124
Allen2019,10.1038/s41561-019-0335-5,42.804,1.419,Total deposition,Outdoor,All19_E,All19_E_1,Films,10.0,600.0,1e-06,1.2699999999999999e-05,-2.4503395188823123,6.52602820301411,-3.4503395188823123,8227245.700218578
Allen2021,10.1038/s41467-021-27454-7,42.94,0.14,Aerosol,Outdoor,All21b_A,All21b_A_1,Fragments,5.0,50.0,1e-06,9.4e-08,-1.9692207776109198,0.8191508952498547,-2.9692207776109196,12.98510018410214
Brahney2020,10.1126/science.aaz5819,36.1,-112.2,Total deposition,Outdoor,Bra20_AC,Bra20_AC_1,Fibers,10.0,2500.0,1e-06,0.0001060287520586555,-0.7396488909080632,3.303866929726701,-1.7396488909080632,1488.9926023887983
Brahney2020,10.1126/science.aaz5819,39.0,-114.2,Total deposition,Outdoor,Bra20_AC,Bra20_AC_10,Fibers,10.0,2500.0,1e-06,0.0001060287520586555,-0.7639646405721521,3.2774423645356756,-1.763964640572152,1447.156909951282
Brahney2020,10.1126/science.aaz5819,37.6,-112.2,Total deposition,Outdoor,Bra20_AC,Bra20_AC_11,Fibers,10.0,2500.0,1e-06,0.0001060287520586555,-0.7256359900685376,3.1262914763522627,-1.7256359900685376,970.5329647646552
Brahney2020,10.1126/science.aaz5819,42.9,-109.8,Total deposition,Outdoor,Bra20_AC,Bra20_AC_2,Fibers,10.0,2500.0,1e-06,0.0001060287520586555,-0.7322421974835847,3.0777035990003325,-1.7322421974835847,875.7060531367434
Brahney2020,10.1126/science.aaz5819,43.5,-113.5,Total deposition,Outdoor,Bra20_AC,Bra20_AC_3,Fibers,10.0,2500.0,1e-06,0.0001060287520586555,-0.622999840711201,3.1822750997434097,-1.622999840711201,947.901117708742
