study,doi,lat,lon,sub_type1,sub_type2,psd,psd_id,shape,low_size,high_size,lod_min,lod_max,density,shape_factor,slope,log_intercept,alpha,scale
Abbasi2019,10.1016/j.envpol.2018.10.039,27.47,52.61,Aerosol,Outdoor,Abb19_A,Abb19_A_1,Fibers,10.0,500.0,10.0,500.0,1.14e-06,0.00012081150000000001,-0.40015807523908575,0.21462224567862143,-1.4001580752390859,0.6559244670770529
Allen2019,10.1038/s41561-019-0335-5,42.804,1.419,Total deposition,Outdoor,All19_C,All19_C_1,Fragments,10.0,225.0,25.0,125.0,1.14e-06,1.1058000000000001e-07,-2.164928092161165,5.159435872803867,-3.164928092161165,312521.10319339664
Allen2019,10.1038/s41561-019-0335-5,42.804,1.419,Total deposition,Outdoor,All19_D,All19_D_1,Fibers,10.0,3000.0,100.0,1300.0,1.14e-06,0.00012081150000000001,-0.9702557585873363,3.693096399759621,-1.9702557585873364,4786.1094810774475
Allen2019,10.1038/s41561-019-0335-5,42.804,1.419,Total deposition,Outdoor,All19_E,All19_E_1,Films,10.0,600.0,50.0,350.0,1.14e-06,1.0348920000000002e-05,-1.849198040363054,5.131310707462541,-2.8491980403630537,250203.9329044267
Allen2021,10.1038/s41467-021-27454-7,42.94,0.14,Aerosol,Outdoor,All21b_A,All21b_A_1,Fragments,5.0,50.0,10.0,30.0,1.14e-06,1.1058000000000001e-07,-3.478313005678107,2.5087309861316673,-4.478313005678107,1122.2759255109931
Brahney2020,10.1126/science.aaz5819,36.1,-112.2,Total deposition,Outdoor,Bra20_AC,Bra20_AC_1,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.150883020337037,4.197571970973216,-2.1508830203370373,18138.57452354384
Brahney2020,10.1126/science.aaz5819,39.0,-114.2,Total deposition,Outdoor,Bra20_AC,Bra20_AC_10,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.1960784221047793,4.216036729131648,-2.1960784221047795,19669.63878995377
Brahney2020,10.1126/science.aaz5819,37.6,-112.2,Total deposition,Outdoor,Bra20_AC,Bra20_AC_11,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.1263074542266345,3.99733016825723,-2.1263074542266347,11194.047016400613
Brahney2020,10.1126/science.aaz5819,42.9,-109.8,Total deposition,Outdoor,Bra20_AC,Bra20_AC_2,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-1.1377688568183102,3.95915712598934,-2.13776885681831,10356.456086316784
Brahney2020,10.1126/science.aaz5819,43.5,-113.5,Total deposition,Outdoor,Bra20_AC,Bra20_AC_3,Fibers,10.0,2500.0,50.0,1500.0,1.14e-06,0.00012081150000000001,-0.9709661009689157,3.940883197657475,-1.9709661009689157,8473.976698282317
