author,year,doi,shape,measure,height,grid_lat,grid_lon,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc
Abbasi,2019,https://doi.org/10.1016/j.envpol.2018.10.039,fiber,concentration,,28.0,52.5,27.31,52.33,2017-07-31,2017-08-28,8 days,1.1556953039967215,particle/m3,8,1
Abbasi,2023,https://doi.org/10.1016/j.jes.2022.02.044,fiber,concentration,,32.0,47.5,31.417333333333332,48.672,2019-08-28,2019-12-23,25 days,0.0068720000000000005,particle/m3,25,2
Akhbarizadeh,2021,https://doi.org/10.1016/j.envres.2020.110339,fiber,concentration,,28.0,50.0,28.9796,50.8343,2017-01-04,2017-09-20,12 days,1.3258333333333334,particle/m3,12,1
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,sphere,concentration,,44.0,-2.5,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,6.2654352201493655,particle/m3,8,1
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fiber,concentration,,42.0,0.0,42.936802,0.14117,2017-06-23,2017-10-23,97 days,0.07023345756949127,particle/m3,15,1
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.0,0.0,42.936802,0.14117,2017-06-23,2017-10-23,97 days,0.16387806766214627,particle/m3,15,1
Chandrakanthan,2023,https://doi.org/10.1016/j.atmosenv.2023.119617,fiber,concentration,,34.0,-112.5,33.4179,-111.9284,2020-10-28,2021-11-05,63 days,0.21831746031746033,particle/m3,63,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fiber,concentration,,-74.0,77.5,-73.86,76.97,2020-01-21,2020-01-30,8 days,0.0006599865232986256,particle/m3,2,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fiber,concentration,,-70.0,75.0,-69.3,76.23,2019-11-22,2019-11-25,3 days,0.05944136687257301,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fiber,concentration,,-68.0,77.5,-68.97,76.42,2019-11-20,2019-11-22,2 days,0.0938884054111916,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fiber,concentration,,-66.0,77.5,-65.62,77.77,2019-11-18,2019-11-20,2 days,0.07285399621702895,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fiber,concentration,,-66.0,82.5,-65.42,82.0,2020-03-12,2020-03-14,2 days,0.0197144361475654,particle/m3,1,1
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fiber,concentration,,-66.0,152.5,-65.22,152.27,2020-03-20,2020-03-24,4 days,0.004875384317270494,particle/m3,2,2
