author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes
Abbasi,2019.0,https://doi.org/10.1016/j.envpol.2018.10.039,concentration,27.47,52.61,0.657,particle/m3,0.037449,ug/m3,10.0,500.0,µm,Fibers,land,size range estimated from section 3.3
Allen,2020.0,https://doi.org/10.1371/journal.pone.0232746,concentration,44.2,-1.3,2.9,particle/m3,0.1653,ug/m3,5.0,140.0,µm,Not reported,land,size range from results section
Allen,2021.0,https://doi.org/10.1038/s41467-021-27454-7,concentration,42.94,0.14,0.233,particle/m3,0.013281,ug/m3,3.5,53.0,µm,Fibers + Fragments,land,size range from results section
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,29.96,-22.935,0.1291,particle/m3,0.01291,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,26.52,-24.71,0.5174,particle/m3,0.05174,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,11.79,-29.305,0.0193,particle/m3,0.00193,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,8.17,-29.61,0.0149,particle/m3,0.00149,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,4.51,-29.97,0.0057,particle/m3,0.00057,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-27.435,-40.365,0.1316,particle/m3,0.01316,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-30.68,-42.715,0.0001,particle/m3,1e-05,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-39.92,-50.63,0.0321,particle/m3,0.00321,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-43.44,-54.31,0.0103,particle/m3,0.00103,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-46.955,-58.82,0.0785,particle/m3,0.00785,ug/m3,1.0,50.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Ding,2021.0,https://doi.org/10.1016/j.atmosenv.2021.118389,concentration,19.99,113.1,0.035,particle/m3,0.0035,ug/m3,50.0,2210.0,µm,Fibers + Films + Foams + Fragments,ocean,size range from section 3.2
Dris,2017.0,https://doi.org/10.1016/j.envpol.2016.12.013,concentration,48.8,2.5,0.9,particle/m3,0.0513,ug/m3,50.0,1650.0,µm,Fibers,land,size range from figure 2
Gaston,2020.0,https://doi.org/10.1177/0003702820920652,concentration,34.17,-118.96,6.2,particle/m3,0.3534,ug/m3,25.0,2061.0,µm,Fibers + Fragments,land,size range from table 2; count is particles identified via Nile red fluorescence
Liu,2019.0,https://doi.org/10.1016/j.scitotenv.2019.04.110,concentration,31.1,121.5,1.42,particle/m3,0.08094,ug/m3,23.0,9555.0,µm,Fibers + Fragments,land,size range from section 3.2
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,28.0,123.0,0.802941176,particle/m3,0.0802941176,ug/m3,16.0,2087.0,µm,Fibers + Fragments,ocean,size range from results section
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,20.0,130.0,0.014191419,particle/m3,0.0014191419,ug/m3,16.0,2087.0,µm,Fibers + Fragments,ocean,size range from results section
