author,year,doi,measure,lat,lon,particle/m3,ug/m3,particle/m2/d,t/km2/yr,size_min_um,size_max_um,shape,area,notes
Allen,2021.0,https://doi.org/10.1038/s41467-021-27454-7,concentration,42.9,0.1,0.23,0.013204928,,,3.5,53.0,Fibers + Fragments,land,size range from results section
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,28.0,123.0,0.802941176,0.080294118,,,16.0,2087.0,Fibers + Fragments,ocean,size range from results section
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,20.0,130.0,0.014191419,0.001419142,,,16.0,2087.0,Fibers + Fragments,ocean,size range from results section
Liu,2019.0,https://doi.org/10.1021/acs.est.9b03427,concentration,12.0,142.0,0.023666667,0.002366667,,,16.0,2087.0,Fibers + Fragments,ocean,size range from results section
Abbasi,2019.0,https://doi.org/10.1016/j.envpol.2018.10.039,concentration,37.86,57.31,0.7,0.040188912,,,10.0,500.0,Fibers,land,size range estimated from section 3.3
Unknown-c1,,,concentration,30.0,50.6,6.2,0.355958932,,,,,,land,"North of Bushehr, Iran"
Allen,2020.0,https://doi.org/10.1371/journal.pone.0232746,concentration,44.2,-1.3,2.9,0.16649692,,,5.0,140.0,Not reported,land,size range from results section
Gaston,2020.0,https://doi.org/10.1177/0003702820920652,concentration,34.0,-119.0,17.0,0.976016427,,,25.0,2061.0,Fibers + Fragments,land,size range from table 2
Dris,2017.0,https://doi.org/10.1016/j.envpol.2016.12.013,concentration,48.8,2.4,0.9,0.051671458,,,50.0,1650.0,Fibers,land,size range from figure 2
Liu,2019.0,https://doi.org/10.1016/j.scitotenv.2019.04.110,concentration,30.7,121.78,1.42,0.081526078,,,23.0,9555.0,Fibers + Fragments,land,size range from section 3.2
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,40.85,121.81,0.048,0.002755811,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,38.84,117.44,0.056,0.003215113,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,38.22,118.95,0.031,0.001779795,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,35.87,120.41,0.042,0.002411335,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,34.77,119.35,0.078,0.004478193,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,31.85,120.88,0.32,0.018372074,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,30.7,121.78,0.43,0.024687474,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,29.88,122.34,0.042,0.002411335,,,16.0,2986.0,Fibers,land,size range from section 3.3
Liu,2020.0,https://doi.org/10.1016/j.jhazmat.2020.123223,concentration,28.66,122.03,0.022,0.00126308,,,16.0,2986.0,Fibers,land,size range from section 3.3
Yuan,2023.0,https://doi.org/10.1016/j.scitotenv.2023.161839,concentration,23.13,113.26,0.166,0.009530513,,,13.0,334.0,Fibers,land,size range from section 3.2
Ding,2021.0,https://doi.org/10.1016/j.atmosenv.2021.118389,concentration,19.99,113.1,0.04,0.003533333,,,50.0,2210.0,Fibers + Films + Foams + Fragments,ocean,size range from section 3.2
Wang,2021.0,https://doi.org/10.1016/j.jhazmat.2021.125477,concentration,20.56,113.11,0.01,0.001469486,,,19.0,949.0,Fibers + Films + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.54,113.59,0.03,0.003,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.24,113.67,0.077,0.0077,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,22.02,114.48,0.019,0.0019,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,17.31,113.19,0.0061,0.00061,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,14.33,112.48,0.023,0.0023,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,11.22,111.94,0.0034,0.00034,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,5.54,109.83,0.007,0.0007,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,1.85,108.35,0.008,0.0008,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-2.88,107.14,0.0018,0.00018,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-6.55,104.38,0.0064,0.00064,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.37,98.72,0.0008,8e-05,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-9.34,93.0,0.0002,2e-05,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-8.36,89.68,0.0005,5e-05,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
Wang,2020.0,https://doi.org/10.1016/j.jhazmat.2019.121846,concentration,-4.19,88.21,0.008,0.0008,,,59.0,2252.0,Fibers + Fragments,ocean,size range from section 3.2
