type,year,mon,lon,lat,particle/m3,ug/m3,study,doi,size_low,size_high,size_units,shape,setting,notes
1,2017,17,0.1,42.9,0.23,0.013204928,Allen2021,https://doi.org/10.1038/s41467-021-27454-7,3.5,53.0,um,Fibers + Fragments,land,size range from results section
1,2019,1,123.0,28.0,0.802941176,0.080294118,Liu2019,https://doi.org/10.1021/acs.est.9b03427,16.0,2087.0,um,Fibers + Fragments,ocean,size range from results section
1,2019,1,130.0,20.0,0.014191419,0.001419142,Liu2019,https://doi.org/10.1021/acs.est.9b03427,16.0,2087.0,um,Fibers + Fragments,ocean,size range from results section
1,2019,1,142.0,12.0,0.023666667,0.002366667,Liu2019,https://doi.org/10.1021/acs.est.9b03427,16.0,2087.0,um,Fibers + Fragments,ocean,size range from results section
1,2017,7,57.31,37.86,0.7,0.040188912,Abbasi2019,https://doi.org/10.1016/j.envpol.2018.10.039,10.0,500.0,um,Fibers,land,size range estimated from section 3.3
1,2020,1,50.6,30.0,6.2,0.355958932,Unknown1,,,,,,land,"North of Bushehr, Iran"
1,2018,10,-1.3,44.2,2.9,0.16649692,Allen2020,https://doi.org/10.1371/journal.pone.0232746,5.0,140.0,um,Not reported,land,size range from results section
1,2019,4,-119.0,34.0,17.0,0.976016427,Gaston2020,https://doi.org/10.1177/0003702820920652,25.0,2061.0,um,Fibers + Fragments,land,size range from table 2
1,2015,22,2.4,48.8,0.9,0.051671458,Dris2017,https://doi.org/10.1016/j.envpol.2016.12.013,50.0,1650.0,um,Fibers,land,size range from figure 2
1,2018,4,121.78,30.7,1.42,0.081526078,Unknown2,,,,,,land,"Hangzhou Bay, China"
1,2019,7,121.81,40.85,0.048,0.002755811,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2019,7,117.44,38.84,0.056,0.003215113,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2019,7,118.95,38.22,0.031,0.001779795,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2019,7,120.41,35.87,0.042,0.002411335,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2019,10,119.35,34.77,0.078,0.004478193,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2019,10,120.88,31.85,0.32,0.018372074,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2018,4,121.78,30.7,0.43,0.024687474,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2018,10,122.34,29.88,0.042,0.002411335,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2018,10,122.03,28.66,0.022,0.00126308,Liu2020,https://doi.org/10.1016/j.jhazmat.2020.123223,16.0,2986.0,um,Fibers,land,size range from section 3.3
1,2021,22,113.26,23.13,0.166,0.009530513,Yuan2023,https://doi.org/10.1016/j.scitotenv.2023.161839,13.0,334.0,um,Fibers,land,size range from section 3.2
2,2019,10,113.1,19.99,0.04,0.003533333,Ding2021,https://doi.org/10.1016/j.atmosenv.2021.118389,50.0,2210.0,um,Fibers + Films + Foams + Fragments,ocean,size range from section 3.2
2,2020,7,113.11,20.56,0.01,0.001469486,Wang2021,https://doi.org/10.1016/j.jhazmat.2021.125477,19.0,949.0,um,Fibers + Films + Fragments,ocean,size range from section 3.2
2,2020,4,113.59,22.54,0.03,0.003,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,113.67,22.24,0.077,0.0077,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,114.48,22.02,0.019,0.0019,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,113.19,17.31,0.0061,0.00061,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,112.48,14.33,0.023,0.0023,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,111.94,11.22,0.0034,0.00034,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,109.83,5.54,0.007,0.0007,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,108.35,1.85,0.008,0.0008,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,107.14,-2.88,0.0018,0.00018,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,104.38,-6.55,0.0064,0.00064,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,98.72,-8.37,0.0008,8e-05,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,93.0,-9.34,0.0002,2e-05,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,89.68,-8.36,0.0005,5e-05,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,88.21,-4.19,0.008,0.0008,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,87.46,0.19,0.018,0.0018,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,87.28,2.73,0.012,0.0012,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,86.82,6.09,0.0001,1e-05,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,86.87,8.93,0.0016,0.00016,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,86.95,11.82,0.0015,0.00015,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,87.06,13.88,0.0014,0.00014,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
2,2020,4,79.66,4.16,0.0014,0.00014,Wang2020,https://doi.org/10.1016/j.jhazmat.2019.121846,59.0,2252.0,um,Fibers + Fragments,ocean,size range from section 3.2
3,2016,7,-8.0,46.0500015,0.07,0.006802721,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-12.45,43.8500005,0.08,0.00792393,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-19.75,39.3500005,0.07,0.007462687,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-21.8,38.3999995,0.04,0.003748126,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-30.3500005,36.3999995,0.06,0.006451613,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-38.450001,32.2,0.07,0.007462687,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-50.3999995,26.5,0.03,0.003455425,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-67.650002,25.8499995,0.07,0.006570302,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
3,2016,7,-70.900002,25.95,0.02,0.001737318,Trainic2020,https://doi.org/10.1038/s43247-020-00061-y,17.0,172.0,um,Not reported,ocean,size range from table 1
4,2021,1,-22.935,29.96,0.13,0.01291,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-24.71,26.52,0.52,0.05174,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-29.305,11.79,0.02,0.00193,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
4,2021,1,-29.61,8.17,0.01,0.00149,Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um)
