study,doi,lat,lon,particle/m3,ug/m3,size_low,size_high,size_units,shape,setting,notes
Abbasi2019,https://doi.org/10.1016/j.envpol.2018.10.039,27.47,52.61,0.657,0.037449,10.0,500.0,um,Fibers,land,size range estimated from section 3.3
Allen2020,https://doi.org/10.1371/journal.pone.0232746,44.2,-1.3,2.9,0.1653,5.0,140.0,um,Not reported,land,size range from results section
Allen2021,https://doi.org/10.1038/s41467-021-27454-7,42.94,0.14,0.233,0.013281,3.5,53.0,um,Fibers + Fragments,land,size range from results section
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,29.96,-22.935,0.1291,0.01291,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,26.52,-24.71,0.5174,0.05174,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,11.79,-29.305,0.0193,0.00193,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,8.17,-29.61,0.0149,0.00149,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,4.51,-29.97,0.0057,0.00057,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-27.435,-40.365,0.1316,0.01316,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-30.68,-42.715,0.0001,1e-05,1.0,50.0,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle
