author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Abbasi,2019.0,https://doi.org/10.1016/j.envpol.2018.10.039,concentration,27.47,52.61,2089.74782440525,particle/m3,0.0016621254150762863,µg/m3,0.0871,100.0,µm,Fibers,land,size range estimated from section 3.3,2.7,56.05010035106689,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Allen,2020.0,https://doi.org/10.1371/journal.pone.0232746,concentration,44.2,-1.3,2845.2557060206273,particle/m3,0.0022630346906635243,µg/m3,0.0871,100.0,µm,Not reported,land,size range from results section,2.7,76.31392935761976,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Allen,2021.0,https://doi.org/10.1038/s41467-021-27454-7,concentration,42.94,0.14,125.46977162471354,particle/m3,9.979505364510045e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,land,size range from results section,2.7,3.36528322147776,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,29.96,-22.935,8.193222603705903,particle/m3,6.516654001002664e-06,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.21975424200623073,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,26.52,-24.71,32.83635457132017,particle/m3,2.6117093571795346e-05,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.8807191697445684,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,11.79,-29.305,1.2248582203836094,particle/m3,9.742170582443957e-07,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.03285249318915766,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,8.17,-29.61,0.945615931798745,particle/m3,7.521157599917872e-07,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.02536280562271757,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,4.51,-29.97,0.36174569203039236,particle/m3,2.8772213637269715e-07,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.009702549801979205,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-27.435,-40.365,8.351882994947305,particle/m3,6.642847920464375e-06,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.22400974630534443,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695925
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-30.68,-42.715,0.006346415649656008,particle/m3,5.0477567784683705e-09,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.00017022017196454748,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-39.92,-50.63,2.037199423539578,particle/m3,1.620329925888347e-06,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.05464067520061973,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-43.44,-54.31,0.6536808119145686,particle/m3,5.199189481822421e-07,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.017532677712348385,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-46.955,-58.82,4.981936284979965,particle/m3,3.962489071097671e-06,µg/m3,0.0871,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.7,0.13362283499216976,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
