study,doi,lat,lon,particle/m3,ug/m3,size_low,size_high,size_units,shape,setting,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Abbasi2019,https://doi.org/10.1016/j.envpol.2018.10.039,27.47,52.61,3041.7661177446284,0.0015045322243936554,0.092,99.5,um,Fibers,land,size range estimated from section 3.3,2.8,74.68233942824699,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Allen2020,https://doi.org/10.1371/journal.pone.0232746,44.2,-1.3,3861.93050827737,0.0019102056743207116,0.092,99.5,um,Not reported,land,size range from results section,2.8,94.81925759674304,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Allen2021,https://doi.org/10.1038/s41467-021-27454-7,42.94,0.14,164.10906245649284,8.117237263590086e-05,0.092,99.5,um,Fibers + Fragments,land,size range from results section,2.8,4.029254134343059,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,29.96,-22.935,9.472981533145179,4.685569312696084e-06,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.23258343832839645,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,26.52,-24.71,37.965303216493524,1.8778571358551155e-05,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.9321353291333254,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418353
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,11.79,-29.305,1.4161777195174434,7.004762798995696e-07,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.03477041332097639,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,8.17,-29.61,1.0933185503010312,5.407822057255744e-07,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.026843479714121665,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,4.51,-29.97,0.4182493783030791,2.0687641427085734e-07,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.010268982172516343,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-27.435,-40.365,9.65642424292723,4.7763045821131266e-06,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.23708737787774573,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-30.68,-42.715,0.007337708391282089,3.629410776681707e-09,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.0001801575819739709,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-39.92,-50.63,2.3554043936015505,1.1650408593148277e-06,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.057830583813644656,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-43.44,-54.31,0.7557839643020552,3.738293099982158e-07,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.018556230943319003,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Caracci2023,https://doi.org/10.1016/j.jhazmat.2023.131036,-46.955,-58.82,5.76010108715644,2.8490874596951395e-06,0.092,99.5,um,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,2.8,0.14142370184956715,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Ding2021,https://doi.org/10.1016/j.atmosenv.2021.118389,19.99,113.1,2936.7636027863136,0.0014525954017446155,0.092,99.5,um,Fibers + Films + Foams + Fragments,ocean,size range from section 3.2,2.8,72.10428669197977,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Dris2017,https://doi.org/10.1016/j.envpol.2016.12.013,48.8,2.5,75573.96273665891,0.03738073798610661,0.092,99.5,um,Fibers,land,size range from figure 2,2.8,1855.5142369794441,µm1.8 particle m-3,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
