study,doi,lat,lon,particle/m2/d,t/km2/yr,size_low,size_high,size_units,shape,setting,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen2019,https://doi.org/10.1038/s41561-019-0335-5,42.804,1.419,1688450.657869362,0.00030503823139993084,0.092,99.5,um,Fibers + Films + Fragments,land,size range estimated from figure 2,2.8,41455.33885831558,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Brahney2020,https://doi.org/10.1126/science.aaz5819,36.1,-112.2,99565.60068348686,1.7987682731035693e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,2444.564012414888,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Brahney2020,https://doi.org/10.1126/science.aaz5819,42.9,-109.8,60450.54327211703,1.0921093086700241e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,1484.1995789661821,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Brahney2020,https://doi.org/10.1126/science.aaz5819,43.5,-113.5,123568.02227682745,2.2323999103696083e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,3033.878551122049,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Brahney2020,https://doi.org/10.1126/science.aaz5819,40.3,-105.6,386705.6812260427,6.986287489286183e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,9494.512012504252,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Brahney2020,https://doi.org/10.1126/science.aaz5819,34.1,-116.4,48004.84318668116,8.67263274532078e-06,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,1178.629077414321,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Brahney2020,https://doi.org/10.1126/science.aaz5819,40.8,-109.5,106677.42930373592,1.9272517211823955e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,2619.17572758738,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418352
Brahney2020,https://doi.org/10.1126/science.aaz5819,38.46,-109.8,42670.97172149437,7.709006884729581e-06,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,1047.670291034952,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
Brahney2020,https://doi.org/10.1126/science.aaz5819,40.1,-105.6,131568.82947460766,2.3769437894582874e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,3230.3167306911023,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.000494624558941835
Brahney2020,https://doi.org/10.1126/science.aaz5819,39.0,-107.0,124457.00085435859,2.2484603413794615e-05,0.092,99.5,um,Fibers + Fragments,land,size range stated in paper,2.8,3055.7050155186103,µm1.8 particle d-1 m-2,0.09684482953466136,1.0,g cm-3,0.0004946245589418351
