author,year,doi,shape,measure,height,lat,lon,start_date,end_date,duration,number,number_units,n_obs,n_loc,size_min,size_max,size_units,obs_size_min,obs_size_max,mass,mass_units,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Allen,2020,https://doi.org/10.1371/journal.pone.0232746,fragment,concentration,,44.21666666666667,-1.283333333333333,2018-10-05,2018-10-13,8 days,313270.56438662065,particle/m3,8,1,0.0871,100.0,µm,50.0,500.0,0.24916641174658774,µg/m3,2.7,8402.375811015745,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Allen,2021,https://doi.org/10.1038/s41467-021-27454-7,fragment,concentration,,42.936802,0.14117,2017-06-23,2017-10-23,97 days,8193.872084417699,particle/m3,15,1,0.0871,100.0,µm,50.0,500.0,0.006517170579311814,µg/m3,2.7,219.77166203110028,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-73.86,76.97,2020-01-21,2020-01-30,8 days,59.88971392933786,particle/m3,2,1,0.0871,100.0,µm,50.0,500.0,4.7634558802295396e-05,µg/m3,2.7,1.606329929637056,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-69.3,76.23,2019-11-22,2019-11-25,3 days,106.83030052260172,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,8.496975353922888e-05,µg/m3,2.7,2.865345279893101,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-68.97,76.42,2019-11-20,2019-11-22,2 days,106.83030052260172,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,8.496975353922888e-05,µg/m3,2.7,2.865345279893101,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.62,77.77,2019-11-18,2019-11-20,2 days,139.2031188627842,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,0.00011071816370263168,µg/m3,2.7,3.7336317283455602,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.42,82.0,2020-03-12,2020-03-14,2 days,93.88117318652773,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,7.467038947386696e-05,µg/m3,2.7,2.518030700512091,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695927
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-65.22,152.27,2020-03-20,2020-03-24,4 days,560.0497572851667,particle/m3,2,2,0.0871,100.0,µm,50.0,500.0,0.0004454474958268761,µg/m3,2.7,15.021355558227796,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.04,103.43,2020-03-14,2020-03-16,2 days,16.186409170088748,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,1.2874205081699414e-05,µg/m3,2.7,0.43414322422616247,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695924
Chen,2023,https://doi.org/10.1038/s41467-023-43695-0,fragment,concentration,,-64.39,128.36,2020-03-16,2020-03-18,2 days,58.27107301232548,particle/m3,1,1,0.0871,100.0,µm,50.0,500.0,4.634713829412266e-05,µg/m3,2.7,1.5629156072143457,µm1.7*particle/m3,0.09684482953466136,1.0,g/cm3,0.0007953712862695926
