author,year,doi,measure,lat,lon,number,number_units,mass,mass_units,size_min,size_max,size_units,shape,area,notes,alpha,c,c_units,shape_factor,density,density_units,ng/particle
Abbasi,2019.0,https://doi.org/10.1016/j.envpol.2018.10.039,concentration,27.47,52.61,46814.54495723322,particle/m3,0.0009647664306650025,µg/m3,0.136,100.0,µm,Fibers,land,size range estimated from section 3.3,3.6,680.0726843079512,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Allen,2020.0,https://doi.org/10.1371/journal.pone.0232746,concentration,44.2,-1.3,34087.39851363661,particle/m3,0.000702482056051161,µg/m3,0.136,100.0,µm,Not reported,land,size range from results section,3.6,495.18602881692493,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Allen,2021.0,https://doi.org/10.1038/s41467-021-27454-7,concentration,42.94,0.14,1084.1832832912576,particle/m3,2.2343133685548233e-05,µg/m3,0.136,100.0,µm,Fibers + Fragments,land,size range from results section,3.6,15.749879368116575,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,29.96,-22.935,23.106899691857205,particle/m3,4.7619305409916013e-07,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.33567284086241883,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,26.52,-24.71,92.60658327317519,particle/m3,1.908460776072079e-06,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,1.3452914629141401,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,11.79,-29.305,3.4544009609050663,particle/m3,7.118920173597048e-08,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.050181919664172604,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,8.17,-29.61,2.6668691356210097,particle/m3,5.495953916403939e-08,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.03874148202052704,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,4.51,-29.97,1.0202116827543461,particle/m3,2.1024790150001648e-08,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.014820566947449942,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506092e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-27.435,-40.365,23.55436095622315,particle/m3,4.854144532877573e-07,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.3421730895235811,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.060826248650609e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-30.68,-42.715,0.017898450574637653,particle/m3,3.688559675438885e-10,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.0002600099464464902,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506085e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-39.92,-50.63,5.745402634458684,particle/m3,1.184027655815882e-07,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.08346319280932334,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506096e-05
Caracci,2023.0,https://doi.org/10.1016/j.jhazmat.2023.131036,concentration,-43.44,-54.31,1.843540409187678,particle/m3,3.799216465702051e-08,µg/m3,0.136,100.0,µm,Fibers + Fragments,ocean,size range estimated from methods (sampling with PM10 inlet head may capture fibers longer than 10 um); counts estimated from study-reported mass assuming 100 ng/particle,3.6,0.02678102448398849,µm2.6*particle/m3,0.09684482953466136,1.0,g/cm3,2.0608262486506085e-05
